ID,No.,Artist,Artist_Eng,Title,Title_Eng,CD,Track_No.,FileName
1,1,浅川 浩美,Hiromi Asakawa,ちょうちょう,Chou chou,RWC-MDB-R-2001-M01,1,RWC-MDB-R-2001-M01/01.wav
2,2,浅川 浩美,Hiromi Asakawa,むすんでひらいて,Musunde hiraite,RWC-MDB-R-2001-M01,2,RWC-MDB-R-2001-M01/02.wav
3,3,浅川 浩美,Hiromi Asakawa,赤い靴,Akai kutsu,RWC-MDB-R-2001-M01,3,RWC-MDB-R-2001-M01/03.wav
4,4,浅川 浩美,Hiromi Asakawa,七つの子,Nanatsu no ko,RWC-MDB-R-2001-M01,4,RWC-MDB-R-2001-M01/04.wav
5,5,浅川 浩美,Hiromi Asakawa,桃太郎,Momotaro,RWC-MDB-R-2001-M01,5,RWC-MDB-R-2001-M01/05.wav
6,6,Donna Burke,Donna Burke,ジングルベル,Jingle Bells,RWC-MDB-R-2001-M01,6,RWC-MDB-R-2001-M01/06.wav
7,7,Donna Burke,Donna Burke,メリーさんの羊,Mary Had A Little Lamb,RWC-MDB-R-2001-M01,7,RWC-MDB-R-2001-M01/07.wav
8,8,Jeff Manning,Jeff Manning,線路は続くよどこまでも,I've Been Workin' On The Railroad,RWC-MDB-R-2001-M01,8,RWC-MDB-R-2001-M01/08.wav
9,9,Jeff Manning,Jeff Manning,峠の我が家,Home on the Range,RWC-MDB-R-2001-M01,9,RWC-MDB-R-2001-M01/09.wav
10,10,Jeff Manning,Jeff Manning,アルプス一万尺,Yankee Doodle,RWC-MDB-R-2001-M01,10,RWC-MDB-R-2001-M01/10.wav
11,11,Donna Burke,Donna Burke,十人のインディアン,John Brown Had A Little Indian,RWC-MDB-R-2001-M01,11,RWC-MDB-R-2001-M01/11.wav
12,12,Jeff Manning,Jeff Manning,聖者の行進,When the saints Go Marching in,RWC-MDB-R-2001-M01,12,RWC-MDB-R-2001-M01/12.wav
13,13,Donna Burke,Donna Burke,きよしこの夜,Silent Night,RWC-MDB-R-2001-M01,13,RWC-MDB-R-2001-M01/13.wav
14,14,Donna Burke,Donna Burke,わらの中の七面鳥,Turkey in The Straw,RWC-MDB-R-2001-M01,14,RWC-MDB-R-2001-M01/14.wav
15,15,Jeff Manning,Jeff Manning,マイ ボニー,My Bonny,RWC-MDB-R-2001-M01,15,RWC-MDB-R-2001-M01/15.wav
